location_area,property_location,total_price,area_sqft,price(sqft),face,outside_view,lat,long_,property_link
hardhyanpura, hardhyanpura,5194000.0,1503,3455.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-167-sq-yd-plot-in/9685918
hardhyanpura, hardhyanpura,5193000.0,1683,3085.0,east facing,garden view,26.8357755,75.5913278,
hardhyanpura, hardhyanpura,5193000.0,1710,3036.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-190-sq-yd-plot-in/9685922
hardhyanpura, hardhyanpura,5131000.0,1440,3563.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-160-sq-yd-plot-in/9701154
hardhyanpura, hardhyanpura,5190000.0,1377,3769.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-153-sq-yd-plot-in/9685911
hardhyanpura, hardhyanpura,5135000.0,1818,2824.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-202-sq-yd-plot-in/9701173
hardhyanpura, hardhyanpura,5136000.0,1890,2717.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-210-sq-yd-plot-in/9701177
hardhyanpura, hardhyanpura,5184000.0,1962,2642.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-218-sq-yd-plot-in/9680413
hardhyanpura, hardhyanpura,5195000.0,1530,3395.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-170-sq-yd-plot-in/9685915
hardhyanpura, hardhyanpura,5183000.0,1890,2742.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-210-sq-yd-plot-in/9680409
hardhyanpura, hardhyanpura,5183000.0,1872,2768.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-208-sq-yd-plot-in/9680408
hardhyanpura, hardhyanpura,5185000.0,2070,2504.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-230-sq-yd-plot-in/9680420
hardhyanpura, hardhyanpura,5131000.0,1422,3608.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-158-sq-yd-plot-in/9701151
hardhyanpura, hardhyanpura,5145000.0,1908,2696.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-212-sq-yd-plot-in/9711314
hardhyanpura, hardhyanpura,5146000.0,1584,3248.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-176-sq-yd-plot-in/9711302
hardhyanpura, hardhyanpura,5193000.0,1476,3518.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-164-sq-yd-plot-in/9685917
hardhyanpura, hardhyanpura,5137000.0,1962,2618.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-218-sq-yd-plot-in/9701181
hardhyanpura, hardhyanpura,5142000.0,1476,3483.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-164-sq-yd-plot-in/9711298
hardhyanpura, hardhyanpura,5155000.0,1935,2664.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-215-sq-yd-plot-in/9717737
hardhyanpura, hardhyanpura,5130000.0,1368,3750.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-152-sq-yd-plot-in/9701150
hardhyanpura, hardhyanpura,5182000.0,1818,2850.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-202-sq-yd-plot-in/9680405
hardhyanpura, hardhyanpura,5132000.0,1548,3315.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-172-sq-yd-plot-in/9701160
hardhyanpura, hardhyanpura,5132000.0,1530,3354.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-170-sq-yd-plot-in/9701159
hardhyanpura, hardhyanpura,5141000.0,1638,3138.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-182-sq-yd-plot-in/9711304
hardhyanpura, hardhyanpura,5140000.0,1341,3832.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-149-sq-yd-plot-in/9711293
hardhyanpura, hardhyanpura,5152000.0,1611,3198.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-179-sq-yd-plot-in/9717725
hardhyanpura, hardhyanpura,5198000.0,1593,3263.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-177-sq-yd-plot-in/9685923
hardhyanpura, hardhyanpura,5191000.0,1395,3721.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-155-sq-yd-plot-in/9685912
hardhyanpura, hardhyanpura,5192000.0,1665,3118.0,east facing,garden view,26.8357755,75.5913278,
hardhyanpura, hardhyanpura,5134000.0,1674,3066.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-186-sq-yd-plot-in/9701167
hardhyanpura, hardhyanpura,5144000.0,1719,2992.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-191-sq-yd-plot-in/9711307
hardhyanpura, hardhyanpura,5146000.0,1449,3551.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-161-sq-yd-plot-in/9711297
hardhyanpura, hardhyanpura,5153000.0,1665,3094.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-185-sq-yd-plot-in/9717727
hardhyanpura, hardhyanpura,5197000.0,1575,3299.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-175-sq-yd-plot-in/9685919
hardhyanpura, hardhyanpura,5146000.0,1962,2622.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-218-sq-yd-plot-in/9711317
hardhyanpura, hardhyanpura,5133000.0,1620,3168.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-180-sq-yd-plot-in/9701164
hardhyanpura, hardhyanpura,5151000.0,1449,3554.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-161-sq-yd-plot-in/9717719
tonk road, tonk road,4991000.0,1349,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1349-sq-ft-plot-in-tonk-road/9678967
tonk road, tonk road,3833000.0,1036,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1036-sq-ft-plot-in-tonk-road/9678946
tonk road, tonk road,5723000.0,1547,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1547-sq-ft-plot-in-tonk-road/9679000
tonk road, tonk road,5457000.0,1475,3699.0,east facing,garden view,26.888806,75.803537,https://www.squareyards.com/resale-1475-sq-ft-plot-in-tonk-road/9678994
phagi road, phagi road,4210000.0,2376,1771.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-264-sq-yd-plot-in-phagi-road/9762711
phagi road, phagi road,4258000.0,2403,1771.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-267-sq-yd-plot-in-phagi-road/9762657
phagi road, phagi road,2041000.0,1152,1771.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-128-sq-yd-plot-in-phagi-road/9762685
phagi road, phagi road,5024000.0,2835,1772.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-315-sq-yd-plot-in-phagi-road/9762675
phagi road, phagi road,1100000.0,621,1771.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-69-sq-yd-plot-in-phagi-road/9762636
phagi road, phagi road,1977000.0,1116,1771.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-124-sq-yd-plot-in-phagi-road/9762683
phagi road, phagi road,1563000.0,882,1772.0,,,26.62219,75.4608296,
phagi road, phagi road,2440000.0,1377,1771.0,,,26.62219,75.4608296,https://www.squareyards.com/resale-153-sq-yd-plot-in-phagi-road/9762646
