,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
736,villa,agra road, Agra Road,4204000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1345-sq-ft-villa-in-agra-road/9796601,1345.0
737,villa,agra road, Agra Road,4370000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1470-sq-ft-villa-in-agra-road/9796524,1470.0
738,villa,agra road, Agra Road,4209000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1395-sq-ft-villa-in-agra-road/9796566,1395.0
739,villa,agra road, Agra Road,4380000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1480-sq-ft-villa-in-agra-road/9796522,1480.0
740,villa,ajmer road, Ajmer Road,15600000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-120-sq-yd-villa-in-ajmer-road/9803569,1080.0
741,villa,jagatpura, Jagatpura,13500000.0,3.0,3.0,1.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-111-sq-yd-villa-in-porwal-realty/9642372,999.0
742,villa,ajmer road, Ajmer Road,15300000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-110-sq-yd-villa-in-ajmer-road/9803434,990.0
743,villa,ajmer road, Ajmer Road,12900000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-120-sq-yd-villa-in-ajmer-road/9804226,1080.0
744,villa,ajmer road, Ajmer Road,13000000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-110-sq-yd-villa-in-ajmer-road/9804231,990.0
745,villa,ajmer road, Ajmer Road,15600000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-144-sq-yd-villa-in-ajmer-road/9803724,1296.0
746,villa,ajmer road, Ajmer Road,12300000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-120-sq-yd-villa-in-ajmer-road/9803514,1080.0
747,villa,ajmer road, Ajmer Road,14800000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-125-sq-yd-villa-in-ajmer-road/9803608,1125.0
748,villa,ajmer road, Ajmer Road,16600000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-156-sq-yd-villa-in-ajmer-road/9803717,1404.0
749,villa,ajmer road, Ajmer Road,13300000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-143-sq-yd-villa-in-ajmer-road/9803803,1287.0
750,villa,ajmer road, Ajmer Road,14500000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-120-sq-yd-villa-in-ajmer-road/9804201,1080.0
751,villa,ajmer road, Ajmer Road,14300000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-133-sq-yd-villa-in-ajmer-road/9804147,1197.0
752,villa,ajmer road, Ajmer Road,13600000.000000002,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-126-sq-yd-villa-in-ajmer-road/9803710,1134.0
753,villa,ajmer road, Ajmer Road,13000000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-120-sq-yd-villa-in-ajmer-road/9803560,1080.0
754,villa,ajmer road, Ajmer Road,12300000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-110-sq-yd-villa-in-ajmer-road/9804157,990.0
755,villa,ajmer road, Ajmer Road,16500000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-150-sq-yd-villa-in-ajmer-road/9803611,1350.0
757,villa,ajmer road, Ajmer Road,13500000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-125-sq-yd-villa-in-ajmer-road/9803630,1125.0
758,villa,ajmer road, Ajmer Road,14500000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-125-sq-yd-villa-in-ajmer-road/9803594,1125.0
759,villa,ajmer road, Ajmer Road,13500000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-130-sq-yd-villa-in-ajmer-road/9803701,1170.0
760,villa,ajmer road, Ajmer Road,14600000.0,4.0,2.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-135-sq-yd-villa-in-ajmer-road/9803617,1215.0
761,villa,dhawas, Dhawas,14100000.0,2.0,2.0,2.0,1.0,semi-furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-800-sq-ft-villa-in-dhawas/9792979,800.0
762,villa,other, Paldi Meena,6200000.0,3.0,3.0,,,unfurnished,https://www.squareyards.com/resale-3-bhk-125-sq-yd-villa-in-paldi-meena/9745532,1125.0
763,villa,gandhi path, Gandhi Path,18500000.0,4.0,4.0,2.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-122-sq-yd-villa-in-jaipur-property-ndream-ho/9625742,768.6
765,villa,other, Kalwara,28500000.0,5.0,5.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-5-bhk-pooja-room-extra-room-5000-sq-ft-villa-in-galaxy-enclave-the-urban/8670580,5000.0
767,villa,mansarovar, Mansarovar,9796000.0,3.0,4.0,2.0,,furnished,https://www.squareyards.com/resale-3-bhk-study-room-768-sq-ft-villa-in-mansarovar/9136242,768.0
768,villa,gokulpura, Gokulpura,11100000.000000002,4.0,4.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-111-sq-yd-villa-in-gokulpura/8656095,699.3
769,villa,govindpura, Gov,7500000.0,4.0,4.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-4-bhk-pooja-room-1900-sq-ft-villa-in-govindpura-kalwar-road/8923169,1900.0
770,villa,sirsi road, Sirsi Road,7552000.0,3.0,3.0,1.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-89-sq-yd-villa-in-sirsi-road/9430892,801.0
771,villa,kalwar road, Kalwar Road,6000000.0,3.0,2.0,2.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-servant-room-study-room-extra-room-1500-sq-ft-villa-in-kalwar-road/8631830,1500.0
772,villa,ajmer road, Ajmer Road,16500000.0,4.0,5.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-2450-sq-ft-villa-in-manglam-anantara-the-villas/8190257,2130.0
773,villa,vaishali nagar, Vaishali Nagar,16000000.0,4.0,4.0,2.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-study-room-extra-room-113-sq-yd-villa-in-vaishali-nagar/8497518,1017.0
774,villa,ajmer road, Ajmer Road,3700000.0,2.0,2.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-90-sq-yd-villa-in-ajmer-road/9090730,810.0
775,villa,sirsi road, Sirsi Road,12100000.0,3.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-2150-sq-ft-villa-in-dream-villa-janak-vihar/9270123,2150.0
776,villa,ajmer road, Ajmer Road,7384000.0,3.0,3.0,1.0,,unfurnished,https://www.squareyards.com/resale-3-bhk-88-sq-mt-villa-in-ajmer-road/9437299,880.0
777,villa,ajmer road, Ajmer Road,6595000.0,3.0,3.0,1.0,,unfurnished,https://www.squareyards.com/resale-3-bhk-76-sq-mt-villa-in-ajmer-road/9437277,760.0
778,villa,mansarovar, Patrakar Colony,9600000.0,3.0,3.0,1.0,1.0,furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-study-room-1042-sq-ft-villa-in-ravi-kiran/8673311,1198.0
779,villa,ajmer road, Ajmer Road,11500000.0,3.0,3.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-120-sq-yd-villa-in-khushi-vihar/8993648,1080.0
780,villa,other, Kalwara,31600000.0,3.5,4.0,2.0,2.0,semi-furnished,https://www.squareyards.com/resale-3-5-bhk-pooja-room-servant-room-study-room-5000-sq-yd-villa-in-galaxy-enclave-kalwara/8848718,45000.0
781,villa,kalwar road, Kalwar Road,5520000.0,3.0,3.0,2.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-extra-room-1410-sq-ft-villa-in-ansal-sushant-city-ii/9481616,1410.0
782,villa,ajmer road, Ajmer Road,3700000.0,2.0,2.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-95-sq-yd-villa-in-ajmer-road/9090742,855.0
783,villa,sirsi road, Sirsi Road,7552000.0,3.0,3.0,1.0,,semi-furnished,https://www.squareyards.com/resale-3-bhk-97-sq-yd-villa-in-sirsi-road/9430899,873.0
784,villa,mansarovar, Mansarovar Extension,19000000.0,4.0,4.0,1.0,,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-2800-sq-ft-villa-in-mansarovar-extension/9384170,2800.0
785,villa,mansarovar, Mansarovar,9766000.0,3.0,4.0,2.0,,furnished,https://www.squareyards.com/resale-3-bhk-study-room-767-sq-ft-villa-in-mansarovar/9136200,767.0
786,villa,kalwar road, Kalwar Road,7600000.0,4.0,4.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-108-sq-yd-villa-in-kanhaiya-kunj-kalwar/8483773,680.4
788,villa,kalwar road, Kalwar Road,6100000.0,3.0,2.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-servant-room-study-room-extra-room-1600-sq-ft-villa-in-kalwar-road/8369069,1600.0
789,villa,other, Kalwara,12500000.0,4.0,3.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-servant-room-152-sq-yd-villa-in-mahindra-world-city-jaipur/8969975,1368.0
