,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
73,flat,mansarovar, Manyawas,10500000.0,4.0,3.0,,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-servant-room-study-room-extra-room-2041-sq-ft-apartment-in-balaji-urban-prime/9833688,2041.0
74,flat,other, Dadu,7800000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1640-sq-ft-apartment-in-dadu-dayal-nagar-kalyan/9696678,1640.0
75,flat,muhana, Muhana,10400000.0,4.0,4.0,,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-2493-sq-ft-apartment-in-manglam-garden-city/8866673,2167.0
76,flat,ajmer road, Ajmer Road,10000000.0,3.5,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-5-bhk-1945-sq-ft-apartment-in-mahima-shubh-nilay/9811864,1691.0
77,flat,jagatpura, Jagatpura,5500000.0,2.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-810-sq-ft-apartment-in-aradhana-bhavyaa-apartment/9749574,704.0
78,flat,vaishali nagar, Vaishali Nagar,10600000.0,3.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-servant-room-1415-sq-ft-apartment-in-park-vaishali/9652316,1230.0
80,flat,vaishali nagar, Vaishali Nagar,13000000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1742-sq-ft-apartment-in-vaishali-nagar/9571284,1742.0
82,flat,jagatpura, Jagatpura,4210000.0,3.0,3.0,1.0,2.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1321-sq-ft-apartment-in-divine-homes-jagatpura/9626675,1321.0
83,flat,mansarovar, Mansarovar,4500000.0,3.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1300-sq-ft-apartment-in-mansarovar/9826195,1300.0
84,flat,central jaipur, Raja Park,11000000.0,3.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1700-sq-ft-apartment-in-raja-park/9721886,1478.0
85,flat,bhakrota, Bhankrota,4500000.0,2.0,2.0,2.0,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-947-sq-ft-apartment-in-the-century-elite/9459051,823.0
86,flat,ajmer road, Ajmer Road,4450000.0,2.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-1008-sq-ft-apartment-in-samanvay-the-amelias/9162080,876.0
88,flat,jagatpura, Jagatpura,5564000.0,2.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-1070-sq-ft-apartment-in-vn-exclusive-444/9249663,1070.0
89,flat,jagatpura, Jagatpura,8000000.0,3.0,3.0,1.0,,Furnished,https://www.squareyards.com/resale-3-bhk-servant-room-study-room-1254-sq-ft-apartment-in-jagatpura/9704744,1254.0
90,flat,shri kishanpura, Mahal Yojna,5000000.0,3.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1350-sq-ft-apartment-in-supreme-kavish/9580934,1350.0
