,location_area,property_location,total_price,area_sqft,outside_view,property_link
2710,hardhyanpura, hardhyanpura,5197000.0,1926.0,garden view,https://www.squareyards.com/resale-214-sq-yd-plot-in-hardhyanpura/9752200
2711,central jaipur, bani park,19500000.0,1000.0,road view,https://www.squareyards.com/resale-1000-sq-ft-plot-in-bani-park/9827871
2712,mahaveer nagar, mahaveer nagar,24600000.0,1550.0,road view,https://www.squareyards.com/resale-1550-sq-ft-plot-in-mahaveer-nagar/9837502
2713,mahaveer nagar, mahaveer nagar,29400000.0,1850.0,road view,https://www.squareyards.com/resale-1850-sq-ft-plot-in-mahaveer-nagar/9837507
2714,mahaveer nagar, mahaveer nagar,17600000.0,1110.0,road view,https://www.squareyards.com/resale-1110-sq-ft-plot-in-mahaveer-nagar/9837520
2715,mahaveer nagar, mahaveer nagar,31000000.0,1950.0,road view,https://www.squareyards.com/resale-1950-sq-ft-plot-in-mahaveer-nagar/9837513
2716,mahaveer nagar, mahaveer nagar,19000000.0,1200.0,road view,https://www.squareyards.com/resale-1200-sq-ft-plot-in-mahaveer-nagar/9837476
2718,mahaveer nagar, mahaveer nagar,27000000.0,1700.0,road view,https://www.squareyards.com/resale-1700-sq-ft-plot-in-mahaveer-nagar/9837489
2719,mahaveer nagar, mahaveer nagar,27100000.0,1710.0,road view,https://www.squareyards.com/resale-1710-sq-ft-plot-in-mahaveer-nagar/9837536
2721,mahaveer nagar, mahaveer nagar,24000000.0,1510.0,road view,https://www.squareyards.com/resale-1510-sq-ft-plot-in-mahaveer-nagar/9837532
2722,mahaveer nagar, mahaveer nagar,20600000.0,1300.0,road view,https://www.squareyards.com/resale-1300-sq-ft-plot-in-mahaveer-nagar/9837480
2723,mahaveer nagar, mahaveer nagar,29500000.0,1850.0,road view,https://www.squareyards.com/resale-1850-sq-ft-plot-in-mahaveer-nagar/9845299
2725,mahaveer nagar, mahaveer nagar,24500000.0,1750.0,road view,https://www.squareyards.com/resale-1750-sq-ft-plot-in-mahaveer-nagar/9845291
2726,mahaveer nagar, mahaveer nagar,13500000.0,1006.0,road view,https://www.squareyards.com/resale-1006-sq-ft-plot-in-mahaveer-nagar/9845303
2728,mahaveer nagar, mahaveer nagar,21700000.0,1550.0,road view,https://www.squareyards.com/resale-1550-sq-ft-plot-in-mahaveer-nagar/9845281
2729,mahaveer nagar, mahaveer nagar,13500000.0,1001.0,road view,https://www.squareyards.com/resale-1001-sq-ft-plot-in-mahaveer-nagar/9845256
2730,mahaveer nagar, mahaveer nagar,25300000.0,1810.0,road view,https://www.squareyards.com/resale-1810-sq-ft-plot-in-mahaveer-nagar/9845326
2732,mahaveer nagar, mahaveer nagar,22400000.000000004,1600.0,road view,https://www.squareyards.com/resale-1600-sq-ft-plot-in-mahaveer-nagar/9845266
2733,mahaveer nagar, mahaveer nagar,19600000.0,1400.0,road view,https://www.squareyards.com/resale-1400-sq-ft-plot-in-mahaveer-nagar/9845263
2735,mahaveer nagar, mahaveer nagar,23800000.0,1700.0,road view,https://www.squareyards.com/resale-1700-sq-ft-plot-in-mahaveer-nagar/9845268
2736,central jaipur, bani park,25300000.0,1300.0,road view,https://www.squareyards.com/resale-1300-sq-ft-plot-in-bani-park/9827781
2737,mahaveer nagar, mahaveer nagar,22400000.000000004,1410.0,road view,https://www.squareyards.com/resale-1410-sq-ft-plot-in-mahaveer-nagar/9837528
2738,mahaveer nagar, mahaveer nagar,25400000.0,1600.0,road view,https://www.squareyards.com/resale-1600-sq-ft-plot-in-mahaveer-nagar/9837487
2739,mahaveer nagar, mahaveer nagar,20800000.0,1310.0,road view,https://www.squareyards.com/resale-1310-sq-ft-plot-in-mahaveer-nagar/9837526
2740,mahaveer nagar, mahaveer nagar,37000000.0,2302.0,road view,https://www.squareyards.com/resale-2302-sq-ft-plot-in-mahaveer-nagar/9837477
2741,mahaveer nagar, mahaveer nagar,37000000.0,2308.0,road view,https://www.squareyards.com/resale-2308-sq-ft-plot-in-mahaveer-nagar/9837527
2742,mahaveer nagar, mahaveer nagar,23800000.0,1500.0,road view,https://www.squareyards.com/resale-1500-sq-ft-plot-in-mahaveer-nagar/9837484
2743,mahaveer nagar, mahaveer nagar,27800000.0,1750.0,road view,https://www.squareyards.com/resale-1750-sq-ft-plot-in-mahaveer-nagar/9837506
