,location_area,property_location,total_price,area_sqft,outside_view,property_link
0,bhapura, bhapura,3250000.0,1170.0,garden view,https://www.squareyards.com/resale-130-sq-yd-plot-in-vrb-global-city/9645940
1,jagatpura, jagatpura,10500000.0,1080.0,garden view,https://www.squareyards.com/resale-120-sq-yd-plot-in-jagatpura/9524233
2,ajmer road, bagru khurd,4790000.0,981.0,road view,https://www.squareyards.com/resale-109-sq-yd-plot-in-omaxe-city/9775364
3,pratap nagar, pratap nagar,11100000.000000002,1197.0,,https://www.squareyards.com/resale-133-sq-yd-plot-in-pratap-nagar/9627950
4,ajmer road, ajmer road,2375000.0,1098.0,water view,https://www.squareyards.com/resale-122-sq-yd-plot-in-dev-nagar/9527166
5,ajmer road, jaipur ajmer express highway,6770999.999999999,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-aman-encalve/9691081
6,other, daulatpura,4205000.0,2700.0,road view,https://www.squareyards.com/resale-300-sq-yd-plot-in-daulatpura/9768788
7,kishorpura, kishorpura,5165000.0,1863.0,road view,https://www.squareyards.com/resale-207-sq-yd-plot-in-kishorpura/9854617
8,neota, neota,3350000.0,999.0,road view,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber-extension-1st-n/9657583
9,neota, neota,2600000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-neota/9806345
10,ajmer road, ajmer road,3144000.0,1233.0,garden view,https://www.squareyards.com/resale-137-sq-yd-plot-in-ajmer-road/9744405
11,other, ratalya,4185000.0,900.0,,https://www.squareyards.com/resale-900-sq-ft-plot-in-ratalya/9720836
12,kalwara, kalwara,4000000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-gokul-nikunj/9596235
13,other, balawala,2000000.0,999.0,,https://www.squareyards.com/resale-111-sq-yd-plot-in-purple-aamod/9273986
14,central jaipur, tonk phatak,21000000.0,2097.0,,https://www.squareyards.com/resale-233-sq-yd-plot-in-tonk-phatak/9732192
15,mansarovar, mansarovar extension,12000000.0,1503.0,road view,https://www.squareyards.com/resale-167-sq-yd-plot-in-mansarovar-extension/9274801
16,pratap nagar, pratap nagar,8100000.0,891.0,road view,https://www.squareyards.com/resale-99-sq-yd-plot-in-an-enclave-005/8203168
17,ajmer road, ajmer road,4854000.0,1287.0,,https://www.squareyards.com/resale-143-sq-yd-plot-in-ajmer-road/8949029
18,sirsi road, sirsi road,8000000.0,1800.0,garden view,https://www.squareyards.com/resale-200-sq-yd-plot-in-manglams-balaji-city/9864498
19,other, balawala,2400000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-balawala/9136232
20,ajmer road, bhambhoriya,4301000.0,1035.0,road view,https://www.squareyards.com/resale-115-sq-yd-plot-in-bhambhoriya/9820069
21,neota, neota,3000000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-vrb-amber/9649619
22,jagatpura, jagatpura,4500000.0,2718.0,garden view,https://www.squareyards.com/resale-302-sq-yd-plot-in-jagatpura/9772348
23,shivdaspura, shivdaspura,6675000.0,1719.0,road view,https://www.squareyards.com/resale-191-sq-yd-plot-in-shivdaspura/9626561
24,tonk road, tonk road,9627000.0,2169.0,garden view,https://www.squareyards.com/resale-241-sq-yd-plot-in-laxminaryan-vatika-ii/9858117
25,diggi road, diggi road,2659000.0,1017.0,garden view,https://www.squareyards.com/resale-113-sq-yd-plot-in-the-knowledge-park/9706576
26,shivdaspura, shivdaspura,2890000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-shivdaspura/9578856
27,sirsi road, sirsi road,3290000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-shyamashish-sinwar-city/9797681
28,tonk road, tonk road,10600000.0,1800.0,water view,https://www.squareyards.com/resale-200-sq-yd-plot-in-sanjeevni-aagan/9362168
29,shivdaspura, shivdaspura,14000000.0,3600.0,garden view,https://www.squareyards.com/resale-400-sq-yd-plot-in-shivdaspura/9308281
30,ajmer road, jaipur ajmer express highway,4101000.0,999.0,road view,https://www.squareyards.com/resale-111-sq-yd-plot-in-jaipur-ajmer-express-highway/9425475
31,other, basri jogiyan,2750000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-eco-park/9349193
32,other, manohariya wala,5800000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-the-ring-niketan-commercial/9674830
33,diggi road, diggi road,725000.0,450.0,road view,https://www.squareyards.com/resale-50-sq-yd-plot-in-diggi-road/9560012
34,sanganer, dadu dayal nagar,9000000.0,891.0,garden view,https://www.squareyards.com/resale-99-sq-yd-plot-in-dadu-dayal-nagar/9509425
35,kalwara, kalwara,1695000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-mahindra-world-city-jaipur/9494512
36,other, ajairajpura,1695000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-pearl-avenue-ajayrajpura/9494641
37,delhi jaipur expressway, delhi-jaipur expressway,1900000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-delhi-jaipur-expressway/9565713
38,neota, neota,3000000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber/9725277
39,renwal manji, renwal manji,3254999.9999999995,1395.0,road view,https://www.squareyards.com/resale-155-sq-yd-plot-in-balaji-sundarm/9619097
40,shivdaspura, shivdaspura,7056999.999999999,1719.0,,https://www.squareyards.com/resale-191-sq-yd-plot-in-ganesh-vihar-vistar/9443633
41,jagatpura, jagatpura,8200000.0,1053.0,road view,https://www.squareyards.com/resale-117-sq-yd-plot-in-krishna-sarovar-jagatpura/9368621
42,ajmer road, ajmer road,3600000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-the-riyasat-delight/9371910
43,sanganer, kalyanpura,9000000.0,810.0,,https://www.squareyards.com/resale-90-sq-yd-plot-in-captain-enclave/9311122
44,vatika/vatika road, vatika,3000000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-paradise/9454160
45,kalwar road, kalwar road,11200000.000000002,1500.0,,https://www.squareyards.com/resale-1500-sq-ft-plot-in-kalwar-road/9640570
46,bhapura, bhapura,4600000.0,1800.0,road view,https://www.squareyards.com/resale-200-sq-yd-plot-in-vrb-global-city/9556899
47,kalwar road, kalwar road,1500000.0,990.0,road view,https://www.squareyards.com/resale-110-sq-yd-plot-in-kalwar-road/9576704
48,jaisinghpura, jais,3000000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-jaisinghpura/9364558
49,diggi road, diggi malpura road,2380000.0,999.0,road view,https://www.squareyards.com/resale-111-sq-yd-plot-in-diggi-malpura-road/9489482
50,kalwar road, kalwar,1300000.0,1000.0,road view,https://www.squareyards.com/resale-1000-sq-ft-plot-in-kalwar/9531511
51,ajmer road, jaipur ajmer express highway,2593000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-jaipur-ajmer-express-highway/9497710
52,tonk road, tonk road,3200000.0,1260.0,,https://www.squareyards.com/resale-140-sq-yd-plot-in-shreenath-regency/9694997
53,shivdaspura, shivdaspura,3150000.0,981.0,,https://www.squareyards.com/resale-109-sq-yd-plot-in-shivdaspura/9369651
54,shivdaspura, shivdaspura,3329999.9999999995,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-town/9274112
55,other, ajairajpura,1700000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-pearl-avenue/9265561
56,bhakrota, bhankrota,1695000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-pearl-avenue-bhankrota/9248396
57,pratap nagar, pratap nagar,2100000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-pratap-nagar/9818464
58,mahaveer nagar, mahaveer nagar,37000000.0,2300.0,road view,https://www.squareyards.com/resale-2300-sq-ft-plot-in-mahaveer-nagar/9837001
59,kishorpura, kishorpura,8400000.0,2700.0,,https://www.squareyards.com/resale-300-sq-yd-plot-in-happy-residdancy/9578485
60,ajmer road, ajmer road,5295000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-ajmer-road/9578228
61,hardhyanpura, hardhyanpura,5250000.0,1170.0,garden view,https://www.squareyards.com/resale-130-sq-yd-plot-in-hardhyanpura/9790276
62,neota, neota,3324000.0,999.0,,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber/9682756
63,vatika/vatika road, vatika,3822000.0,1044.0,garden view,https://www.squareyards.com/resale-116-sq-yd-plot-in-vatika/9251976
64,sanganer, sanganer,10600000.0,1450.0,garden view,https://www.squareyards.com/resale-1450-sq-ft-plot-in-gokul-aangan-sanganer/9433951
65,vatika/vatika road, simliya road,5100000.0,9000.0,,https://www.squareyards.com/resale-1000-sq-yd-plot-in-ashiana-gulmohar-gardens-villas/9443452
66,diggi road, diggi road,5726000.0,3708.0,garden view,https://www.squareyards.com/resale-412-sq-yd-plot-in-diggi-road/9734848
67,kalwar road, kalwar road,1250000.0,945.0,,https://www.squareyards.com/resale-105-sq-yd-plot-in-kalwar-road/9598718
68,vatika/vatika road, vatika road,3295000.0000000005,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-gunsagar-valley-lakhna-ro/9258666
69,kalwara, kalwara,1370000.0,990.0,road view,https://www.squareyards.com/resale-110-sq-yd-plot-in-mahindra-world-city-jaipur/9660352
70,other, machwa,6588000.0,1098.0,road view,https://www.squareyards.com/resale-122-sq-yd-plot-in-kedia-aravali/9831404
71,mansarovar, mansarovar extension,24800000.0,2799.0,,https://www.squareyards.com/resale-311-sq-yd-plot-in-mansarovar-extension/9307109
72,kalwar road, kalwar road,1368000.0,1071.0,garden view,https://www.squareyards.com/resale-119-sq-yd-plot-in-kalwar-road/9650711
73,ajmer road, ajmer road,1245000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-ajmer-road/9456065
74,tonk road, tonk road,4390000.0,1800.0,road view,https://www.squareyards.com/resale-200-sq-yd-plot-in-tonk-road/9801932
75,ajmer road, ajmer road,1100000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-ajmer-road/9341885
76,kalwara, kalwara,2100000.0,1008.0,,https://www.squareyards.com/resale-112-sq-yd-plot-in-kalwara/9640689
77,other, boytawala,9318000.0,1368.0,,https://www.squareyards.com/resale-152-sq-yd-plot-in-aman-enclave-boytawala/9647691
78,other, ajairajpura,1491000.0,792.0,,https://www.squareyards.com/resale-88-sq-yd-plot-in-ajairajpura/9252102
79,vaishali nagar, vidhyut nagar,26000000.0,2052.0,road view,https://www.squareyards.com/resale-228-sq-yd-plot-in-vidhyut-nagar/9354827
80,ajmer road, ajmer road,1200000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-ajmer-road/9264232
81,sirsi road, sirsi road,7984999.999999999,1575.0,,https://www.squareyards.com/resale-175-sq-yd-plot-in-sirsi-road/9365456
82,diggi road, diggi malpura road,1650000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-world-one-park/9611476
83,jagatpura, jagatpura,6556999.999999999,1557.0,,https://www.squareyards.com/resale-1557-sq-ft-plot-in-unicorn-galaxy/9320617
84,other, daulatpura,2302000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-daulatpura/9863700
85,tonk road, sachivalaya nagar,9190000.0,1800.0,garden view,https://www.squareyards.com/resale-200-sq-yd-plot-in-riyasat-govindam-homes/9489346
86,diggi road, diggi malpura road,4225000.0,1854.0,water view,https://www.squareyards.com/resale-206-sq-yd-plot-in-bhaskar-enclave/9665001
87,central jaipur, siwar,3850000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-bhumija-alankar/9395595
88,other, daulatpura,4275000.0,2700.0,road view,https://www.squareyards.com/resale-300-sq-yd-plot-in-daulatpura/9767731
89,renwal manji, renwal manji,4285000.0,1926.0,road view,https://www.squareyards.com/resale-214-sq-yd-plot-in-renwal-manji/9872738
90,ajmer road, ajmer road,3772000.0,999.0,road view,https://www.squareyards.com/resale-111-sq-yd-plot-in-dwarika/8922725
91,renwal manji, renwal manji,1300000.0,765.0,,https://www.squareyards.com/resale-85-sq-yd-plot-in-ansal-florence-town/9853086
92,jagatpura, mahal road,5100000.0,999.0,road view,https://www.squareyards.com/resale-111-sq-yd-plot-in-002-open-plot/8387170
93,vaishali nagar, vaishali nagar,4570000.0,936.0,,https://www.squareyards.com/resale-104-sq-yd-plot-in-keshva-green/8754173
94,vaishali nagar, vaishali nagar,14600000.0,2196.0,road view,https://www.squareyards.com/resale-244-sq-yd-plot-in-manglams-vaishali-estate/9864571
95,diggi road, diggi road,2658000.0,1008.0,garden view,https://www.squareyards.com/resale-112-sq-yd-plot-in-the-knowledge-park/9706562
96,sikar road, sikar road,10100000.0,1503.0,road view,https://www.squareyards.com/resale-167-sq-yd-plot-in-unnati-vihar/9785693
97,shivdaspura, shivdaspura,7094000.0,1728.0,road view,https://www.squareyards.com/resale-192-sq-yd-plot-in-shivdaspura/9308466
98,sitapura, sitapura,4500000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-kunj/9674811
99,sanganer, sanganer,3700000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-vatika-residency/9863962
100,ajmer road, mahapura,5775000.0,945.0,garden view,https://www.squareyards.com/resale-105-sq-yd-plot-in-govind-aashray-grand/9647563
101,other, nayla,7200000.0,1800.0,road view,https://www.squareyards.com/resale-200-sq-yd-plot-in-the-riyasat-delight/9369395
102,shivdaspura, shivdaspura,2600000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-heritage/9389225
103,ajmer road, ajmer road,3895000.000000001,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-ajmer-road/9780114
104,ajmer road, jaipur ajmer express highway,3900000.0,1350.0,road view,https://www.squareyards.com/resale-150-sq-yd-plot-in-happy-residency/9556732
105,jagatpura, jagatpura,19000000.0,1620.0,garden view,https://www.squareyards.com/resale-162-sq-mt-plot-in-jagatpura/9347366
106,kishorpura, kishorpura,6539000.0,2268.0,road view,https://www.squareyards.com/resale-252-sq-yd-plot-in-krishna-vatika-kishorpura/9556009
107,ajmer road, ajmer road,2886000.0,999.0,,https://www.squareyards.com/resale-111-sq-yd-plot-in-ajmer-road/9540987
108,vatika/vatika road, vatika,3300000.0,1080.0,road view,https://www.squareyards.com/resale-120-sq-yd-plot-in-riyasat-paradise/9454273
109,bhakrota, bhakrota,2831000.0,1381.0,garden view,https://www.squareyards.com/resale-1381-sq-ft-plot-in-bhakrota/9800263
110,central jaipur, bani park,40000000.0,2000.0,garden view,https://www.squareyards.com/resale-2000-sq-ft-plot-in-independent/9359272
111,jaisinghpura, jais,3005000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-jaisinghpura/9513127
112,ajmer road, jaipur ajmer express highway,2686000.0,1044.0,garden view,https://www.squareyards.com/resale-116-sq-yd-plot-in-jaipur-ajmer-express-highway/9497722
113,tonk road, tonk road,4000000.0,990.0,,https://www.squareyards.com/resale-110-sq-yd-plot-in-shreenath-regency/9673187
114,other, prithvis,3000000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-yaduraj-enclave/9443555
115,diggi road, diggi malpura road,2200000.0,2025.0,road view,https://www.squareyards.com/resale-225-sq-yd-plot-in-diggi-malpura-road/9398458
116,kalwar road, kalwar road,1322000.0,1035.0,garden view,https://www.squareyards.com/resale-115-sq-yd-plot-in-kalwar-road/9650615
117,jagatpura, jagatpura,8500000.0,999.0,road view,https://www.squareyards.com/resale-111-sq-yd-plot-in-porwal-realty/9690739
118,other, manohariyawala,27600000.0,8307.0,,https://www.squareyards.com/resale-923-sq-yd-plot-in-manohariyawala/9792505
119,vaishali nagar, vidhyut nagar,25500000.0,2070.0,road view,https://www.squareyards.com/resale-230-sq-yd-plot-in-vidhyut-nagar/9355069
120,phagi road, phagi road,797000.0,450.0,,https://www.squareyards.com/resale-50-sq-yd-plot-in-phagi-road/9762200
121,hardhyanpura, hardhyanpura,5150000.0,1260.0,garden view,https://www.squareyards.com/resale-140-sq-yd-plot-in/9717216
122,other, shriramgopalpura,12500000.0,2763.0,,https://www.squareyards.com/resale-307-sq-yd-plot-in-riyasat-krishnam-residency/9639895
123,sanganer, sanganer,2331000.0,990.0,road view,https://www.squareyards.com/resale-110-sq-yd-plot-in-krishna-vatika/9618232
124,jagatpura, jagatpura,12100000.0,1800.0,garden view,https://www.squareyards.com/resale-200-sq-yd-plot-in-jagatpura/9524211
126,sirsi road, sirsi road,8088000.0,2322.0,,https://www.squareyards.com/resale-258-sq-yd-plot-in-sirsi-road/9365459
127,ajmer road, ajmer road,1852000.0,1242.0,,https://www.squareyards.com/resale-138-sq-yd-plot-in-ajmer-road/9835953
128,kalwar road, bhambori,1500000.0,901.0,road view,https://www.squareyards.com/resale-901-sq-ft-plot-in-bhambori/9531550
129,kalwara, kalwara,2195000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-mahindra-world-city-jaipur/9260919
130,ajmer road, ajmer road,1947000.0,918.0,garden view,https://www.squareyards.com/resale-102-sq-yd-plot-in-ajmer-road/9518248
131,tonk road, tonk road,3695000.000000001,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-tonk-road/9164929
132,kalwar road, kalwar road,1230000.0,918.0,garden view,https://www.squareyards.com/resale-102-sq-yd-plot-in-kalwar-road/9547567
133,mansarovar, mansarovar extension,40000000.0,3636.0,road view,https://www.squareyards.com/resale-404-sq-yd-plot-in-mansarovar-extension/9607602
134,other, manchwa,4000000.0,1368.0,road view,https://www.squareyards.com/resale-152-sq-yd-plot-in-ramdev-nagar/9160153
135,kalwara, kalwara,2200000.0,1008.0,,https://www.squareyards.com/resale-112-sq-yd-plot-in-kalwara/9510264
136,jagatpura, jagatpura,11299999.999999998,2970.0,road view,https://www.squareyards.com/resale-330-sq-yd-plot-in-galaxy-star-city/9204376
137,mansarovar, mansarovar extension,11700000.0,1503.0,road view,https://www.squareyards.com/resale-167-sq-yd-plot-in-krishana-sagar/9133458
138,tonk road, tonk road,3400000.0,1494.0,road view,https://www.squareyards.com/resale-166-sq-yd-plot-in-riyasat-heritage/9527887
139,sanganer, sanganer,5100000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-bank-officers-colony/9346786
140,other, muralipura,5675000.0,1242.0,garden view,https://www.squareyards.com/resale-138-sq-yd-plot-in-krishnam-residency/9549010
141,bhakrota, bhankrota,6700000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-the-sapphire-park/9393903
142,ajmer road, jaipur-ajmer express highway,3395000.0000000005,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-dwarika-the-model-town/8186556
143,ajmer road, ajmer road,4847000.0,1206.0,garden view,https://www.squareyards.com/resale-134-sq-yd-plot-in-ajmer-road/8302410
144,diggi road, diggi malpura road,2458000.0,1008.0,,https://www.squareyards.com/resale-112-sq-yd-plot-in-diggi-malpura-road/9720299
145,other, prithvis,4500000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-gokul-kripa-royal-green-city/9545970
146,tonk road, tonk road,2000000.0,900.0,,https://www.squareyards.com/resale-90-sq-mt-plot-in-rk-vatika-city/9728924
147,central jaipur, gopalpura,16100000.000000002,1908.0,road view,https://www.squareyards.com/resale-212-sq-yd-plot-in-gopal-nagar-geetanjali/8643195
149,jagatpura, jagatpura,10000000.0,2403.0,road view,https://www.squareyards.com/resale-267-sq-yd-plot-in-004-open-plot/8392273
150,ajmer road, ajmer road,5243000.0,1125.0,,https://www.squareyards.com/resale-125-sq-yd-plot-in-ajmer-road/9809862
151,vatika/vatika road, vatika,2800000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-vatika/9674977
152,sikar road, sikar road,6500000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-ashiana-greens/9782044
153,shivdaspura, shivdaspura,2900000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-town/9357425
154,ajmer road, ajmer road,5400000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-royal-aangan/9385729
155,bhapura, bhapura,2300000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-vrb-world-city/9377088
157,shivdaspura, shivdaspura,9600000.0,2700.0,,https://www.squareyards.com/resale-300-sq-yd-plot-in-ganesh-vihar-vistar/9308049
158,jagatpura, jagatpura,22300000.0,2799.0,road view,https://www.squareyards.com/resale-311-sq-yd-plot-in-pink-city-enclave-jagatpu/9349504
159,vatika/vatika road, vatika,3400000.0,1125.0,garden view,https://www.squareyards.com/resale-125-sq-yd-plot-in-riyasat-paradise/9454833
160,kishorpura, kishorpura,2150000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-kishorpura/9275056
161,renwal manji, renwal manji,3219000.0,1449.0,road view,https://www.squareyards.com/resale-161-sq-yd-plot-in-renwal-manji/9854950
162,ajmer road, jaipur ajmer express highway,2663000.0,1044.0,garden view,https://www.squareyards.com/resale-116-sq-yd-plot-in-jaipur-ajmer-express-highway/9497720
163,tonk road, tonk road,2000000.0,720.0,,https://www.squareyards.com/resale-80-sq-yd-plot-in-shreenath-regency/9672401
164,vatika/vatika road, vatika,1590000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-vatika/9463715
165,kalwar road, kalwar road,1460000.0,1143.0,garden view,https://www.squareyards.com/resale-127-sq-yd-plot-in-kalwar-road/9650756
166,jaisinghpura, jais,4950000.0,810.0,road view,https://www.squareyards.com/resale-90-sq-yd-plot-in-auric-city-homes-jaipur/9391677
167,mahaveer nagar, mahaveer nagar,13500000.0,1000.0,road view,https://www.squareyards.com/resale-1000-sq-ft-plot-in-mahaveer-nagar/9844906
168,ajmer road, ajmer road,13899999.999999998,2025.0,,https://www.squareyards.com/resale-225-sq-yd-plot-in-ajmer-road/9805683
169,ajmer road, ajmer road,13700000.000000002,2115.0,,https://www.squareyards.com/resale-235-sq-yd-plot-in-ajmer-road/9805702
170,ajmer road, ajmer road,6789000.0,1260.0,,https://www.squareyards.com/resale-140-sq-yd-plot-in-ajmer-road/9805771
171,ajmer road, ajmer road,7780000.0,1305.0,,https://www.squareyards.com/resale-145-sq-yd-plot-in-ajmer-road/9805766
172,central jaipur, vidhyadhar nagar,5322000.0,2190.0,road view,https://www.squareyards.com/resale-2190-sq-ft-plot-in-nayak-tower/9703397
173,sirsi road, sirsi road,9200000.0,1800.0,road view,https://www.squareyards.com/resale-200-sq-yd-plot-in-manglams-balaji-city/9647263
174,sirsi road, sirsi road,11200000.000000002,2538.0,road view,https://www.squareyards.com/resale-282-sq-yd-plot-in-manglams-balaji-city/9688465
175,sirsi road, sirsi road,11299999.999999998,2538.0,road view,https://www.squareyards.com/resale-282-sq-yd-plot-in-manglams-balaji-city/9685201
177,ajmer road, ajmer road,7358000.0,2547.0,road view,https://www.squareyards.com/resale-283-sq-yd-plot-in-ajmer-road/9746325
178,ajmer road, ajmer road,5691000.0,1647.0,road view,https://www.squareyards.com/resale-183-sq-yd-plot-in-ajmer-road/9741921
179,ajmer road, ajmer road,4571000.0,1323.0,road view,https://www.squareyards.com/resale-147-sq-yd-plot-in-ajmer-road/9741947
180,ajmer road, ajmer road,6562000.0,1899.0,road view,https://www.squareyards.com/resale-211-sq-yd-plot-in-ajmer-road/9741930
181,ajmer road, ajmer road,3949000.0,1143.0,road view,https://www.squareyards.com/resale-127-sq-yd-plot-in-ajmer-road/9741942
182,ajmer road, ajmer road,5193000.0,1503.0,road view,https://www.squareyards.com/resale-167-sq-yd-plot-in-ajmer-road/9741918
183,ajmer road, ajmer road,6188000.0,1791.0,road view,https://www.squareyards.com/resale-199-sq-yd-plot-in-ajmer-road/9741926
184,ajmer road, ajmer road,5694000.0,1971.0,road view,https://www.squareyards.com/resale-219-sq-yd-plot-in-ajmer-road/9745852
185,ajmer road, ajmer road,8502000.0,2943.0,road view,https://www.squareyards.com/resale-327-sq-yd-plot-in-ajmer-road/9746256
186,ajmer road, ajmer road,6942000.0,2403.0,road view,https://www.squareyards.com/resale-267-sq-yd-plot-in-ajmer-road/9746321
187,ajmer road, ajmer road,5940000.0,1719.0,road view,https://www.squareyards.com/resale-191-sq-yd-plot-in-ajmer-road/9741924
188,ajmer road, ajmer road,6686000.0,1935.0,road view,https://www.squareyards.com/resale-215-sq-yd-plot-in-ajmer-road/9741931
189,ajmer road, ajmer road,4074000.0,1179.0,road view,https://www.squareyards.com/resale-131-sq-yd-plot-in-ajmer-road/9741943
190,ajmer road, ajmer road,4696000.0,1359.0,road view,https://www.squareyards.com/resale-151-sq-yd-plot-in-ajmer-road/9741948
191,ajmer road, ajmer road,8710000.0,3015.0,road view,https://www.squareyards.com/resale-335-sq-yd-plot-in-ajmer-road/9746260
192,ajmer road, ajmer road,6422000.0,2223.0,road view,https://www.squareyards.com/resale-247-sq-yd-plot-in-ajmer-road/9746316
193,ajmer road, ajmer road,6526000.000000001,2259.0,road view,https://www.squareyards.com/resale-251-sq-yd-plot-in-ajmer-road/9746317
194,ajmer road, ajmer road,7670000.0,2655.0,road view,https://www.squareyards.com/resale-295-sq-yd-plot-in-ajmer-road/9746328
195,ajmer road, ajmer road,9334000.0,3231.0,road view,https://www.squareyards.com/resale-359-sq-yd-plot-in-ajmer-road/9746266
196,ajmer road, ajmer road,8398000.0,2907.0,road view,https://www.squareyards.com/resale-323-sq-yd-plot-in-ajmer-road/9746255
197,ajmer road, ajmer road,10200000.0,3555.0,road view,https://www.squareyards.com/resale-395-sq-yd-plot-in-ajmer-road/9746277
198,ajmer road, ajmer road,9854000.0,3411.0,road view,https://www.squareyards.com/resale-379-sq-yd-plot-in-ajmer-road/9746268
199,ajmer road, ajmer road,5318000.0,1539.0,road view,https://www.squareyards.com/resale-171-sq-yd-plot-in-ajmer-road/9741919
200,ajmer road, ajmer road,4944000.0,1431.0,road view,https://www.squareyards.com/resale-159-sq-yd-plot-in-ajmer-road/9741916
201,ajmer road, ajmer road,6437000.0,1863.0,road view,https://www.squareyards.com/resale-207-sq-yd-plot-in-ajmer-road/9741929
202,ajmer road, ajmer road,6630000.0,2295.0,road view,https://www.squareyards.com/resale-255-sq-yd-plot-in-ajmer-road/9746318
203,ajmer road, ajmer road,7566000.0,2619.0,road view,https://www.squareyards.com/resale-291-sq-yd-plot-in-ajmer-road/9746327
204,ajmer road, ajmer road,7462000.0,2583.0,road view,https://www.squareyards.com/resale-287-sq-yd-plot-in-ajmer-road/9746326
205,ajmer road, ajmer road,10700000.0,3735.0,road view,https://www.squareyards.com/resale-415-sq-yd-plot-in-ajmer-road/9746274
206,ajmer road, ajmer road,9958000.0,3447.0,road view,https://www.squareyards.com/resale-383-sq-yd-plot-in-ajmer-road/9746290
207,ajmer road, ajmer road,10500000.0,3663.0,road view,https://www.squareyards.com/resale-407-sq-yd-plot-in-ajmer-road/9746273
208,ajmer road, ajmer road,10300000.0,3591.0,road view,https://www.squareyards.com/resale-399-sq-yd-plot-in-ajmer-road/9746271
209,ajmer road, ajmer road,8918000.0,3087.0,road view,https://www.squareyards.com/resale-343-sq-yd-plot-in-ajmer-road/9746258
210,ajmer road, ajmer road,8606000.0,2979.0,road view,https://www.squareyards.com/resale-331-sq-yd-plot-in-ajmer-road/9746257
211,ajmer road, ajmer road,7254000.000000001,2511.0,road view,https://www.squareyards.com/resale-279-sq-yd-plot-in-ajmer-road/9746324
