,property_type,location_area,location,total_price,price_sqft,bhk,bath,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,furnished_status,lat,long_,property_link,builtup_area
2362, Builder Floor ,ajmer road, Ajmer Road,5000000.0,6518.0,2,1.0,1.0,,0,0,0,0,Unfurnished,26.893845,75.747296,https://www.squareyards.com/resale-2-bhk-767-sq-ft-builder-floor-in-ajmer-road/9619963,767.0
2363, Builder Floor ,ajmer road, Ajmer Road,5945000.0,6365.0,2.5,1.0,1.0,,0,0,0,0,Unfurnished,26.893845,75.747296,https://www.squareyards.com/resale-2-5-bhk-934-sq-ft-builder-floor-in-ajmer-road/9619991,934.0
2364, Builder Floor ,ajmer road, Ajmer Road,4289000.0,5915.0,1,1.0,1.0,1.0,0,0,0,0,Unfurnished,26.893845,75.747296,https://www.squareyards.com/resale-1-bhk-725-sq-ft-builder-floor-in-ajmer-road/9627875,725.0
2365, Builder Floor ,ajmer road, Ajmer Road,6238000.0,6378.0,2.5,1.0,1.0,,0,1,0,0,Unfurnished,26.893845,75.747296,https://www.squareyards.com/resale-2-5-bhk-servant-room-978-sq-ft-builder-floor-in-ajmer-road/9619996,978.0
2366, Builder Floor ,ajmer road, Ajmer Road,4955000.0,5927.0,1,1.0,1.0,1.0,0,0,0,0,Unfurnished,26.893845,75.747296,https://www.squareyards.com/resale-1-bhk-836-sq-ft-builder-floor-in-ajmer-road/9627885,836.0
2367, Builder Floor ,ajmer road, Ajmer Road,3125000.0,5852.0,1,1.0,1.0,,0,0,0,0,Unfurnished,26.893845,75.747296,https://www.squareyards.com/resale-1-bhk-534-sq-ft-builder-floor-in-ajmer-road/9619943,534.0
2368, Builder Floor ,ajmer road, Ajmer Road,4275000.0,6418.0,1.5,1.0,1.0,,0,0,0,0,Unfurnished,26.893845,75.747296,https://www.squareyards.com/resale-1-5-bhk-666-sq-ft-builder-floor-in-ajmer-road/9619955,666.0
2369, Builder Floor ,ajmer road, Ajmer Road,5147000.0,6556.0,2,1.0,1.0,,0,0,0,0,Unfurnished,26.893845,75.747296,https://www.squareyards.com/resale-2-bhk-785-sq-ft-builder-floor-in-ajmer-road/9619965,785.0
2370, Builder Floor ,central jaipur, C-Scheme,28000000.0,14035.0,3,3.0,2.0,1.0,0,0,0,0,Semi-Furnished,26.9132858,75.8034465,https://www.squareyards.com/resale-3-bhk-1995-sq-ft-builder-floor-in-c-scheme/9407630,1995.0
2371, Builder Floor ,vaishali nagar, Vaishali Nagar,2307000.0,4225.0,2,2.0,2.0,,0,0,0,0,Semi-Furnished,26.904824,75.748962,https://www.squareyards.com/resale-2-bhk-546-sq-ft-builder-floor-in-vaishali-nagar/9546812,546.0
